period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y,va,i,l,tbsm-1,tbsf-1
60,402.1664860020371179,406.0927767738634202,19.6251072561259718,80.9915332645904016,-0.6166405207163483,137.9517654507650377,92.6981419268011280,2.6119710714757272,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,722.5110827464667409,402.3275576293684139,79.6961430012509027,87.1211722148604082,0.9591126557640637,-1.5757531764804120
61,410.4443045353449406,414.4669671536253759,19.6183200208204411,81.0041827038656521,-0.6225027246861288,138.0749830198938639,92.6727724087328966,2.6040592686634723,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,737.3847860048869052,410.6099229075824724,81.3114559967869894,87.1121564165270854,0.9551091611812921,-1.5776118858674206
62,418.8762816959135193,422.9959907985978589,19.6119369646517789,81.0158841946581276,-0.6278211593099815,138.1881478343181016,92.6497688737990899,2.5967061386956702,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,752.5353312182511445,419.0464465789918336,82.9577070784252300,87.1038179231023832,0.9514772730248113,-1.5792984323347927
63,427.4660169632066982,431.6835502163608567,19.6059360213358929,81.0267111204244372,-0.6326471417603658,138.2920988434520950,92.6289067731052000,2.5898720198198166,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,767.9691932321983359,427.6407341368464472,84.6356006700511472,87.0961040672550979,0.9481818900892346,-1.5808290318496003
64,436.2171601529109921,440.5333937164718350,19.6002958415352175,81.0367311724212129,-0.6370270139564083,138.3876034323107831,92.6099835457441003,2.5835201221183324,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,783.6929368706369132,436.3964411784548361,86.3458484491835776,87.0889663016988038,0.9451913197342485,-1.5822183336906568
65,445.1334129520702731,449.5493173621064216,19.5949958166132951,81.0460068321062863,-0.6410026487195871,138.4753637902446712,92.5928163526762091,2.5776163103383709,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,799.7132197061033594,445.3172749478471815,88.0891699307183984,87.0823598453305721,0.9424769302778098,-1.5834795789973968
66,454.2185304872552365,458.7351669210973455,19.5900160891298043,81.0545958118201497,-0.6446119009499152,138.5560226860054343,92.5772400619506755,2.5721289045468554,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,816.0367948921807510,454.4069959129972744,89.8662930063394043,87.0762433606777080,0.9400128412919716,-1.5846247422418867
67,463.4763229193833354,468.0948398130835812,19.5853375522235282,81.0625514581295761,-0.6478890103531584,138.6301687094530735,92.5631054546313976,2.5670284969687929,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,832.6705140456700747,463.6694193707486420,91.6779544419324566,87.0705786592824751,0.9377756472761192,-1.5856646576292777
68,472.9106570593017409,477.6322870496720725,19.5809418396613957,81.0699231217341350,-0.6508649613954955,138.6983410335458871,92.5502776249308710,2.5622877835345559,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,849.6213301672919442,473.1084170731959944,93.5249003346408330,87.0653304320387207,0.9357441707783178,-1.5866091321738132
69,482.5254579986061572,487.3515151645796664,19.5768113080099155,81.0767564974203054,-0.6535678054302410,138.7610337444073707,92.5386345515807562,2.5578814088225155,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,866.8963005904646479,482.7279188697013410,95.4078865304970662,87.0604660018218652,0.9338992415448629,-1.5874670469751038
70,492.3247107503598272,497.2565881306717870,19.5729290121187134,81.0830939371954713,-0.6560229493142152,138.8186997821575233,92.5280658204704309,2.5537858232114852,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,884.5025899481832994,492.5319143589892406,97.3276790028999415,87.0559550960349355,0.9322234987146818,-1.5882464480288971
71,502.3124618944642066,507.3516292606647085,19.5692786748680767,81.0889747394235769,-0.6582534142916394,138.8717545306970464,92.5184714811558564,2.5499791511833569,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,902.4474731482540619,502.5244545458948551,99.2850541915029794,87.0517696369349778,0.9307012134500702,-1.5889546277417097
72,512.4928212223555875,517.6408230879870871,19.5658446519350626,81.0944354165238366,-0.6602800684588861,138.9205790906908078,92.5097610220436763,2.5464410698171180,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,920.7383383470860281,512.7096534973085227,101.2807993003935820,87.0478835478109971,0.9293181297179297,-1.5895981981768159
73,522.8699633755288687,528.1284172239450072,19.5626118921531464,81.0995099435690179,-0.6621218357220715,138.9655232665089102,92.5018524509484479,2.5431526966126716,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,939.3826899119866312,523.0916899917189085,103.3157125536916254,87.0442725732619209,0.9280613212139446,-1.5901831569360161
74,533.4481294720562801,538.8187241868243973,19.5595658938867594,81.1042299899238799,-0.6637958838106441,139.0069082948267862,92.4946714693577832,2.5400964858645514,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,958.3881513613507650,533.6748091564459173,105.3906034059218371,87.0409141119724694,0.9269190626638824,-1.5907149464745265
75,544.2316287148238416,549.7161231979891909,19.5566926577029498,81.1086251359066779,-0.6653177936096537,139.0450293398640440,92.4881507301457191,2.5372561328810050,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,977.7624682713806124,544.4633240862368666,107.5062927036704963,87.0377870605147592,0.9258807139443217,-1.5911985075539754
76,555.2248399746046061,560.8250619392883891,19.5539786354959091,81.1127230763139693,-0.6667017118099314,139.0801577778590286,92.4822291697009291,2.5346164854104902,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,997.5135111369080505,555.4616174363044365,109.6636127941151670,87.0348716668090248,0.9249366156471205,-1.5916383274570520
77,566.4322133403371708,572.1500582652156481,19.5514106761064603,81.1165498125402138,-0.6679604886466458,139.1125432912581346,92.4768514064961380,2.5321634616951361,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1017.6492781725827399,566.6741429821578322,111.8634075750147332,87.0321493919669393,0.9240779948703499,-1.5920384835169956
